ilkHamle,ikinciHamle,ucuncuHamle,dorduncuHamle,besinciHamle,altinciHamle,yedinciHamle,sekizinciHamle,dokuzuncuHamle,onuncuHamle,sonuc
g4,d6,d4,g6,Nb3,Nb6,c4,Ba4,d5,O-O,1
Nb3,d6,d3,Bc6,e4,O-O,g4,e5,f4,Ne6,1
d4,d6,e4,Ng6,f4,f5,h4,fxe4,h5,Nf8,1
e4,e5,d3,d6,f4,h5,fxe5,dxe5,Ne3,h4,-1
d4,e6,e4,d5,exd5,exd5,Nbc3,c6,Bd3,f6,1
d4,d5,c4,e6,cxd5,exd5,Ndc3,Qf5,e3,Nd7,0
e4,b5,b4,e5,Qb3,d6,Bh5,Re7,Nh3,Nf6,-1
b4,e5,e3,b5,Nf3,d6,d4,Bxf3,gxf3,Nf6,-1
b3,b6,c4,O-O,Ne3,g6,Bxh8,Kxh8,g4,Bxh1,0
g3,g6,b3,Bxa1,Qxa1,c5,Ne3,b6,Bxa8,Qxa8,-1
e4,b5,f4,e5,fxe5,Ng6,b3,Nxe5,Nd3,Bd6,1
e4,e5,a4,b6,b3,Ba3,b4,f6,Rb3,Bxc1,0
d4,f5,Nc3,c5,e3,cxd4,exd4,g6,f4,Nf6,-1
e4,e5,Nd3,f6,Nc3,c5,f3,c4,Nf2,Nc6,0
c4,c6,Ngf3,d5,cxd5,cxd5,d4,Ngf6,Ne5,Nd6,1
d4,d5,Ngf3,Ngf6,c3,c6,Nd3,Nd6,O-O,O-O,0
d4,d6,e3,Nb6,Nc3,Bc6,b4,a6,a4,e6,1
e3,d5,d4,Nd6,Na3,e6,Nb3,Qe7,c4,c6,1
e4,e5,Ne3,Bc5,Nc3,Ne6,Bc4,O-O,d3,d6,-1
d4,e5,d5,f5,e4,f4,g3,d6,gxf4,Qg6+,1
f4,Nb6,f5,g6,g4,d6,d4,Nc6,Nb3,Bg7,1
c4,f5,f4,b5,Bxa7,Rb7,Bc5,Bxc4,b3,Be6,0
e4,d5,exd5,Nf6,Qe3,b5,a4,Nxd5,Qxa7,Nb4,1
b4,d5,e3,Qa4,Ne2,e6,Rb3,Bxb4,Bxg7,Ng6,-1
g4,g5,Qh3,Ncd6,Qxh7,Bd4,e3,Be5,Nf3,Rh8,1
g4,g5,e3,Qh6,Ne2,Qa6,a3,Ncd6,Qh3,Nf6,0
d4,e6,e3,c5,d5,exd5,Qxd5,Nc7,Qf5,g6,0
